HDR,ROLLING SYSTEM DEMAND
VD,20220119190000,43045
VD,20220119190500,42667
VD,20220119191000,42250
VD,20220119191500,41943
VD,20220119192000,41745
VD,20220119192500,41574
VD,20220119193000,41318
VD,20220119193500,41202
VD,20220119194000,40906
VD,20220119194500,40677
VD,20220119195000,40558
VD,20220119195500,40334
VD,20220119200000,40033
VD,20220119200500,40179
VD,20220119201000,40206
VD,20220119201500,39986
VD,20220119202000,39937
VD,20220119202500,39820
VD,20220119203000,39577
VD,20220119203500,39230
VD,20220119204000,38992
VD,20220119204500,38685
VD,20220119205000,38479
VD,20220119205500,38233
VD,20220119210000,37979
VD,20220119210500,37783
VD,20220119211000,37451
VD,20220119211500,37085
VD,20220119212000,36772
VD,20220119212500,36446
VD,20220119213000,36118
VD,20220119213500,35867
VD,20220119214000,35469
VD,20220119214500,35212
VD,20220119215000,35036
VD,20220119215500,34842
VD,20220119220000,34691
VD,20220119220500,34665
VD,20220119221000,34554
VD,20220119221500,34170
VD,20220119222000,33729
VD,20220119222500,33504
VD,20220119223000,33323
VD,20220119223500,33116
VD,20220119224000,32918
VD,20220119224500,32747
VD,20220119225000,32385
VD,20220119225500,31840
VD,20220119230000,31478
VD,20220119230500,31077
VD,20220119231000,30749
VD,20220119231500,30597
VD,20220119232000,30431
VD,20220119232500,30448
VD,20220119233000,30469
VD,20220119233500,30528
VD,20220119234000,30534
VD,20220119234500,30586
VD,20220119235000,30436
VD,20220119235500,30237
VD,20220120000000,29981
VD,20220120000500,29658
VD,20220120001000,29668
VD,20220120001500,29514
VD,20220120002000,29456
VD,20220120002500,29408
VD,20220120003000,29458
VD,20220120003500,29666
VD,20220120004000,29854
VD,20220120004500,29950
VD,20220120005000,30071
VD,20220120005500,30126
VD,20220120010000,30268
VD,20220120010500,30394
VD,20220120011000,30338
VD,20220120011500,30140
VD,20220120012000,29896
VD,20220120012500,29778
VD,20220120013000,29767
VD,20220120013500,29813
VD,20220120014000,29634
VD,20220120014500,29562
VD,20220120015000,29519
VD,20220120015500,29631
VD,20220120020000,29614
VD,20220120020500,29604
VD,20220120021000,29451
VD,20220120021500,29401
VD,20220120022000,29382
VD,20220120022500,29352
VD,20220120023000,29281
VD,20220120023500,29162
VD,20220120024000,29097
VD,20220120024500,29035
VD,20220120025000,28996
VD,20220120025500,28903
VD,20220120030000,28784
VD,20220120030500,28737
VD,20220120031000,28628
VD,20220120031500,28658
VD,20220120032000,28694
VD,20220120032500,28783
VD,20220120033000,28886
VD,20220120033500,29024
VD,20220120034000,29060
VD,20220120034500,28982
VD,20220120035000,28916
VD,20220120035500,28760
VD,20220120040000,28637
VD,20220120040500,28723
VD,20220120041000,28624
VD,20220120041500,28560
VD,20220120042000,28530
VD,20220120042500,28535
VD,20220120043000,28566
VD,20220120043500,28614
VD,20220120044000,28617
VD,20220120044500,28696
VD,20220120045000,28742
VD,20220120045500,28614
VD,20220120050000,28649
VD,20220120050500,28632
VD,20220120051000,28571
VD,20220120051500,28680
VD,20220120052000,28709
VD,20220120052500,28801
VD,20220120053000,28845
VD,20220120053500,28997
VD,20220120054000,29195
VD,20220120054500,29389
VD,20220120055000,29573
VD,20220120055500,30018
VD,20220120060000,30635
VD,20220120060500,31497
VD,20220120061000,32404
VD,20220120061500,32856
VD,20220120062000,33223
VD,20220120062500,33649
VD,20220120063000,33929
VD,20220120063500,34568
VD,20220120064000,35539
VD,20220120064500,36067
VD,20220120065000,36733
VD,20220120065500,37183
VD,20220120070000,37568
VD,20220120070500,38040
VD,20220120071000,38927
VD,20220120071500,39459
